cbdb933cebfccf6a9ce0424a2c5fe6a0f5ae19e7bca88089b16ccc274445a48e Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ee0d52df7b82c175a6cd18652b645e7474c08ce5548305dd0721ca76c9bf2942 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c078a8fd86476e8253ca49867a6d2ab2d3929abf25e2f86afd99b78abca36a5f Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,yes,no,18-29,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70d50fa86efa691ebe41b027f0c924df4021ab68a170a86a234ecf2fd6e8a2af Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,yes,no,18-29,Female,yes,Probably does,Don't know,Regularly in the past,NA,NA,NA,NA,NA,NA,NA
1653122fd33d0eaaadfed248ca5ba2b9ae5c0aae992fd7c8206eb2118841d0a2 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,yes,no,18-29,Female,yes,Probably does,Don't know,Regularly in the past,between true and untrue,between true and untrue,NA,NA,NA,NA,NA
1b40df0188ba715db970e06eaa1540e0eccd75aabbc772cd633cd6e404f4e0e6 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,yes,no,18-29,Female,yes,Probably does,Don't know,Regularly in the past,between true and untrue,between true and untrue,1,left,right,erotic,false
4be90e993a8e5270257219a7a01515fdd2645b88f5c8bb60f6b70126b37a8979 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,yes,no,18-29,Female,yes,Probably does,Don't know,Regularly in the past,between true and untrue,between true and untrue,2,right,left,erotic,false
7f44ec298c75b330441c3afd7d8aa16f2fb108176cb8f2de4c411e4c0006d862 Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,yes,no,18-29,Female,yes,Probably does,Don't know,Regularly in the past,between true and untrue,between true and untrue,3,left,right,erotic,false
ce44394206487eb8ffd6f3461873e0a7d09c811e985a48c2235fc7589487677e Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,yes,no,18-29,Female,yes,Probably does,Don't know,Regularly in the past,between true and untrue,between true and untrue,4,right,right,neutral,true
de17dc5bc159227fe2f6303f321bc7faf319d88bc64cb28af5b641fefb1f012a Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0,156ef925-f9a5-48ac-a92d-494efb0c5ccb,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,pilot,yes,no,18-29,Female,yes,Probably does,Don't know,Regularly in the past,between true and untrue,between true and untrue,5,left,left,neutral,true
