timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"d47ac94fc94b737f1ab3d34a95ddfe10c40777ddf6521b410001d4c635e9860f Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d115fea2d8f5f59a416cbe0c0895da0eeddc807ec726b0352e91e3b6e43c2201 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80db8c6d112ba1d44551067d7e22bd4fe43d196e5c4d05a5dc38ea98339a278d Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381f03c6fd2cc62621c38f08f36be62311627f2c3b24839571fef2f610b6dc82 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,NA,NA,NA,NA,NA,NA,NA
"141ff7ae323b0c3d7b00a05551026455fd3257b35fb9c0e22c0ae8bc625ef9bb Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,NA,NA,NA,NA,NA
"d730dc3fe7fecd4f62e424e26bff932712c3d58760707c5fa053544cfb0badc0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,1,right,right,neutral,true
"2137869ac0d3d28686490f7ef44f6793dc563facf359ac0857166688fa8b6145 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,2,right,right,erotic,true
"54a9a848e8715147717775f55657b844831d568fbd66a3c9927b5b5aaf01a165 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,3,right,left,neutral,false
"d30c490204882006da133acd471478a2c640b08073a3d92294e69f69b2df228a Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,4,right,right,neutral,true
"1fea6117ad797cc3f77664771faa9b00a1336fc79bc3a6e3ba7b84e5ffff25da Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,5,right,right,neutral,true
"d47b500abccc4b93246ab606346b2566119fcd07a8bae626e83c19f6d738feff Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,6,right,left,neutral,false
