timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"0bbfd9ea0474fe07ad5f7de9f9dc7ca3bd59fd395fd97c0ff3990233730775a3 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",d8ef965f-6784-45a0-bf1e-d7a598f85618,105ca1b0795b374ee12d9a38cf9dec42478a2771f026df07aaf6395c610ba658,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b953b6399ee4874cea80e54d15030a67702b3145862501198eeb51a20e187116 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",a26b4566-5085-42ff-a1ac-6866835c5d73,477f8574aafa1695bf96cf4e3139f44d8fc475485e6dc76ecf3eadf9798d15d2,13,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ba4707407f82020c74d10bc369d32b3b7fb2e714734bcab3a7e953d185d1e0aa Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84b430775244832c07dde888faec1fdf216e5928d4ecab23168188a076771e09 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38118b910dde752ea5c347b2b3ae93b1af16ba8b5459233acf9b8b620290b10e Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49f9759808e0242a6142f1251a906ba71306114a6a417f950a8d8fdcc2b76f26 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,NA,NA,NA,NA,NA,NA,NA
"ac5ae1a0dcadd7fc9342d495fbd74f85e0e7359c9bd7e8a20b1fead66ce875ab Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,NA,NA,NA,NA,NA
"3b736c75a902b34e7127710b52c08bc1ce9c9a0822e89f9a90113db738d24e38 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,1,right,left,erotic,false
"f0fcab3554dec8e8fe9023a6c1207c726a7cd945d93306a79370b8b7dd459211 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,2,right,right,erotic,true
"186f14e87b249702eec5be2eee00b8c9b57c5b0eaa675a87c406770209f154e8 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,3,right,right,neutral,true
"8fd3203cbdaa68fe4f72a04a20e6555162ff01e506235349bac279909f414d12 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,4,left,right,neutral,false
"30fccb69e7fca4b479b3d2434c494fa9df98b99ca1de40c2193d582fe71de985 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,5,left,left,neutral,true
"40891c852bcad9568aa8acb1bfd786e7d70ce5a2e62891011cafd9e34839fb7e Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,6,right,left,erotic,false
"0988474ae655fb8a85d88ab547c96fe109065f868447d61cf756237376c264af Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,7,right,left,neutral,false
"84b4862b2a77b0786cc3e855d01090435edcf0706753864e94f69dfe671a9bde Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,8,right,left,erotic,false
"b9d5420d7cd8bb8dd434c4095de909dbfd9289b8af4f1ff785700f1ea56e05b5 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,9,left,right,erotic,false
"c62e8bb3f0d04a425a1b02a993b84c56725f724fc341330ecda97ef2cf8ebfef Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,10,left,left,neutral,true
"8615a0a3b466de2056ec959c36044dbeed9c85fb89db124a511f87e7ae7f565b Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,11,right,left,erotic,false
"fc7e7afb32abaa07dda1823f6ed90477d82a53d399e491214bc9955c92e2e413 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36",e03046b2-f446-46c8-a8fe-88593ace7247,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Female,yes,Definitely Does not,Probably yes,Occasionally,between true and untrue,between true and untrue,12,left,left,erotic,true
"17567bee8bcfbb57dd777584db92d14cbb9a0eb8b8ebcf8206157add7661e846 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",71cc4586-3bb5-4628-8671-7d227644733f,105ca1b0795b374ee12d9a38cf9dec42478a2771f026df07aaf6395c610ba658,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68e6298611b629af948d2969aefd9128898401c16d9542035bd6ef11a093a50f Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",71cc4586-3bb5-4628-8671-7d227644733f,105ca1b0795b374ee12d9a38cf9dec42478a2771f026df07aaf6395c610ba658,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90e055dde07251ee717064f5b645fb2a4c5ef4eb83b29f1e37a0dfe94d2cccc6 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",8801dca3-6449-4015-8daf-139ecb2964e0,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9fe4b1243add4e986e8db7585f9f80ee5615803277e77eb72901af5a68886a72 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",8801dca3-6449-4015-8daf-139ecb2964e0,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0bd40a7e759a6155ba04014845286a8f4be650da049100074bdc7d44d8e79475 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36",8801dca3-6449-4015-8daf-139ecb2964e0,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
