timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
7368103c2cc5f477f9d5772cd025cf683f06059f2c9132debdf2178111437e3b Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,8eeb34be-897a-4cf4-961c-f96ea2fbdae4,0fc7c45f285831f078bc30a31e4fafa526659f09d38bbeac943b519f51568c34,1,433f5029568ac99adc3f5fe273e43e9a33d41a5ff08d0b42ae7e56f88f056e87,1,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b1e23903b8209d3ded481911428b52addf9649f90adca463b491a7d6788b2610 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5671f4bb4aa63cbcbf99d595ef604f69efb5faebf5b1ce266bf7eced2cdfe961 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3ac7938b35248dcf09ff6d5748a6002b6caae3ff4578de4ee811e93b87d06eae Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06489fd98c8f1e6fa29de4bf0ddd25ca042317feca1977b548c8ee9f5e6144c0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,NA,NA,NA,NA,NA,NA,NA
"10b6667ae07ea49bd5a6dff9bdb3e490e63cd8a06b4330e0be2d5b0d1c8f88e0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,NA,NA,NA,NA,NA
"e631101100f3340ecd11a436614698f790731b1b14df7b0b6e247802ad0bea2d Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,1,left,right,neutral,false
"37c7be4d95ac8048b58d6c058e71d085f311252ab367b4af74155e8770461dd1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,2,left,left,erotic,true
"b3e8d2106fff9c9b949314f488bff27d8b6743cf25aecedfe43dfa0e9ca58c22 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,3,left,left,erotic,true
"0eb457e568556f279d32e00eafd8dbe17b93fc651591745070f4f63359101d47 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,4,right,right,erotic,true
"4c2cb08e9e95e6f521397158baa4d5c1b5e0803e0f0043ca30504369ffd1c646 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,5,right,right,neutral,true
"fafd7f7b78fedac0517d78cdd0c2ecc03f11b643fa1d508943cb9f8d5878802b Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,6,right,right,erotic,true
