timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
Thu Jul 05 2018 10:50:59 GMT+0200 (Central European Summer Time),43f6d64f-daeb-4249-8f9f-1b836d4d1df5,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thu Jul 05 2018 10:51:02 GMT+0200 (Central European Summer Time),c4e97659-d0c2-4f01-81d6-e40a54d38947,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thu Jul 05 2018 10:53:47 GMT+0200 (Central European Summer Time),43f6d64f-daeb-4249-8f9f-1b836d4d1df5,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,"Lehet, hogy igen","Lehetséges, hogy nem",Néhányszor,NA,NA,NA,NA,NA,NA,NA
Thu Jul 05 2018 10:53:59 GMT+0200 (Central European Summer Time),43f6d64f-daeb-4249-8f9f-1b836d4d1df5,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,"Lehet, hogy igen","Lehetséges, hogy nem",Néhányszor,jellemző rám,jellemző rám,NA,NA,NA,NA,NA
Thu Jul 05 2018 10:54:50 GMT+0200 (Central European Summer Time),c4e97659-d0c2-4f01-81d6-e40a54d38947,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,Biztosan igen,Biztosan igen,"Nem, soha",NA,NA,NA,NA,NA,NA,NA
Thu Jul 05 2018 10:55:17 GMT+0200 (Central European Summer Time),c4e97659-d0c2-4f01-81d6-e40a54d38947,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,Biztosan igen,Biztosan igen,"Nem, soha",jellemző rám,nem jellemző rám,NA,NA,NA,NA,NA
Thu Jul 05 2018 10:58:08 GMT+0200 (Central European Summer Time),43f6d64f-daeb-4249-8f9f-1b836d4d1df5,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,"Lehet, hogy igen","Lehetséges, hogy nem",Néhányszor,jellemző rám,jellemző rám,1,left,right,erotic,false
Thu Jul 05 2018 10:58:16 GMT+0200 (Central European Summer Time),43f6d64f-daeb-4249-8f9f-1b836d4d1df5,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,"Lehet, hogy igen","Lehetséges, hogy nem",Néhányszor,jellemző rám,jellemző rám,2,left,right,erotic,false
Thu Jul 05 2018 10:58:23 GMT+0200 (Central European Summer Time),43f6d64f-daeb-4249-8f9f-1b836d4d1df5,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,"Lehet, hogy igen","Lehetséges, hogy nem",Néhányszor,jellemző rám,jellemző rám,3,left,right,neutral,false
Thu Jul 05 2018 10:58:30 GMT+0200 (Central European Summer Time),43f6d64f-daeb-4249-8f9f-1b836d4d1df5,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,"Lehet, hogy igen","Lehetséges, hogy nem",Néhányszor,jellemző rám,jellemző rám,4,right,right,erotic,true
Thu Jul 05 2018 10:58:36 GMT+0200 (Central European Summer Time),43f6d64f-daeb-4249-8f9f-1b836d4d1df5,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,"Lehet, hogy igen","Lehetséges, hogy nem",Néhányszor,jellemző rám,jellemző rám,5,left,right,neutral,false
Thu Jul 05 2018 10:58:42 GMT+0200 (Central European Summer Time),43f6d64f-daeb-4249-8f9f-1b836d4d1df5,exp_ELTE_MZ_01,1,lab_ELTE_01,2,production,yes,false,18-29,Férfi,NA,"Lehet, hogy igen","Lehetséges, hogy nem",Néhányszor,jellemző rám,jellemző rám,6,right,right,erotic,true
